# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Apr  1 18:53:37 2026
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
11 Com b,11 Com,1,2,1,323.21000000000,0.06000000000,-0.05000000000,0,1.1780000000,0.0000000000,0.0000000000,0,,,,,,,,,4914.89848585,39.09289406,-39.72855088,0,15.46400000,0.12300000,-0.12500000,0,Msini,0.238000,0.007000,-0.007000,0,,,,,4874.00,,,0,13.760000,2.850000,-2.450000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.18460000,1.92380000,-1.92380000,4.4403800,0.0038479,-0.0038479
11 Com b,11 Com,0,2,1,326.03000000000,0.32000000000,-0.32000000000,0,1.2900000000,0.0500000000,-0.0500000000,0,,,,,,,,,6165.60000000,476.70000000,-476.70000000,0,19.40000000,1.50000000,-1.50000000,0,Msini,0.231000,0.005000,-0.005000,0,,,,,4742.00,100.00,-100.00,0,19.000000,2.000000,-2.000000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.18460000,1.92380000,-1.92380000,4.4403800,0.0038479,-0.0038479
11 Com b,11 Com,0,2,1,,,,,1.2100000000,0.0600000000,-0.0500000000,0,,,,,,,,,5434.70000000,540.30000000,-413.20000000,0,17.10000000,1.70000000,-1.30000000,0,Msini,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.18460000,1.92380000,-1.92380000,4.4403800,0.0038479,-0.0038479
11 UMi b,11 UMi,0,1,1,,,,,1.5100000000,0.0600000000,-0.0500000000,0,,,,,,,,,3432.40000000,381.40000000,-413.20000000,0,10.80000000,1.20000000,-1.30000000,0,Msini,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.32100000,1.97650000,-1.97650000,4.5621600,0.0039035,-0.0039035
11 UMi b,11 UMi,1,1,1,516.21997000000,3.20000000000,-3.20000000000,0,1.5300000000,0.0700000000,-0.0700000000,0,,,,,,,,,4684.81420000,794.57500000,-794.57500000,0,14.74000000,2.50000000,-2.50000000,0,Msini,0.080000,0.030000,-0.030000,0,,,,,4213.00,46.00,-46.00,0,29.790000,2.840000,-2.840000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.32100000,1.97650000,-1.97650000,4.5621600,0.0039035,-0.0039035
11 UMi b,11 UMi,0,1,1,516.22000000000,3.25000000000,-3.25000000000,0,1.5400000000,0.0700000000,-0.0700000000,0,,,,,,,,,3337.07000000,785.01000000,-785.01000000,0,10.50000000,2.47000000,-2.47000000,0,Msini,0.080000,0.030000,-0.030000,0,,,,,4340.00,70.00,-70.00,0,24.080000,1.840000,-1.840000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.32100000,1.97650000,-1.97650000,4.5621600,0.0039035,-0.0039035
14 And b,14 And,1,1,1,186.76000000000,0.11000000000,-0.12000000000,0,0.7750000000,0.0000000000,0.0000000000,0,,,,,,,,,1131.15130051,36.23243840,-38.77506565,0,3.55900000,0.11400000,-0.12200000,0,Msini,0.000000,,,0,,,,,4888.00,,,0,11.550000,1.120000,-0.510000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.43920000,0.71400000,-0.71400000,4.9178100,0.0028262,-0.0028262
14 And b,14 And,0,1,1,185.84000000000,0.23000000000,-0.23000000000,0,0.8300000000,,,0,,,,,,,,,1525.50000000,,,0,4.80000000,,,0,Msini,0.000000,,,0,,,,,4813.00,20.00,-20.00,0,11.000000,1.000000,-1.000000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.43920000,0.71400000,-0.71400000,4.9178100,0.0028262,-0.0028262
14 And b,14 And,0,1,1,,,,,0.6800000000,0.0300000000,-0.0600000000,0,,,,,,,,,1017.00000000,127.10000000,-190.70000000,0,3.20000000,0.40000000,-0.60000000,0,Msini,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.43920000,0.71400000,-0.71400000,4.9178100,0.0028262,-0.0028262
14 Her b,14 Her,0,1,2,1765.03890000000,1.67709000000,-1.87256000000,0,2.7740000000,0.1090000000,-0.1200000000,0,,,,,,,,,2559.47216157,518.69596022,-280.64248338,0,8.05300000,1.63200000,-0.88300000,0,Mass,0.373000,0.008000,-0.006000,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,0.00730000,-0.00730000,6.3830000,0.0003512,-0.0003512
